group,outcomeId,outcomeName
DMARDs,378256,Abnormal reflex
DMARDs,443585,Abrasion and/or friction burn of multiple sites
DMARDs,4092879,Absent kidney
DMARDs,44783954,Acid reflux
DMARDs,433753,Alcohol abuse
DMARDs,4155909,Anesthesia of skin
DMARDs,321689,Apnea
DMARDs,78200,Benign mammary dysplasia
DMARDs,4195873,Breath smells unpleasant
DMARDs,443792,Calculus of bile duct
DMARDs,434327,Cannabis abuse
DMARDs,197318,Cholesterolosis of gallbladder
DMARDs,432303,Cocaine abuse
DMARDs,439125,Complete trisomy 21 syndrome
DMARDs,433270,Cord entanglement without compression
DMARDs,4311591,Cramp in limb
DMARDs,441267,Cystic fibrosis
DMARDs,436233,Delayed milestone
DMARDs,40486120,Delay in physiological development
DMARDs,4114472,Ear problem
DMARDs,439791,Emotional upset
DMARDs,433527,Endometriosis
DMARDs,374801,Foreign body in ear
DMARDs,259995,Foreign body in orifice
DMARDs,196456,Gallstone
DMARDs,4166231,Genetic predisposition
DMARDs,434164,Glycosuria
DMARDs,4163735,Hemochromatosis
DMARDs,439871,Hemospermia
DMARDs,4012570,High risk sexual behavior
DMARDs,4058388,Hypertrophic scar
DMARDs,435522,Hypervitaminosis D
DMARDs,443236,Hypnotic or anxiolytic dependence
DMARDs,4098604,Hypomagnesemia
DMARDs,435371,Hypothermia
DMARDs,443447,Iatrogenic hypotension
DMARDs,374375,Impacted cerumen
DMARDs,4344500,Impingement syndrome of shoulder region
DMARDs,440382,Learning difficulties
DMARDs,435516,Lipoprotein deficiency disorder
DMARDs,438808,Mammary duct ectasia
DMARDs,439082,Menopausal syndrome
DMARDs,441553,Myoclonus
DMARDs,4119307,Neurogenic claudication
DMARDs,4209423,Nicotine dependence
DMARDs,40304526,Nocturia
DMARDs,438130,Opioid abuse
DMARDs,378160,Otorrhea
DMARDs,313601,Oxygen supply absent
DMARDs,44782778,Pain disorder with psychological factor
DMARDs,4091513,Passing flatus
DMARDs,4022076,Patient dependence on care provider
DMARDs,439971,Poisoning by anticoagulant
DMARDs,441191,Poisoning due to arthropod venom
DMARDs,4295261,Postmenopausal state
DMARDs,198715,Premature menopause
DMARDs,439081,Premenstrual tension syndrome
DMARDs,46286594,Problem related to lifestyle
DMARDs,199876,Prolapse of female genital organs
DMARDs,4049367,Psychologic conversion disorder
DMARDs,440068,Psychosexual dysfunction
DMARDs,436246,Reduced libido
DMARDs,73754,Restless legs
DMARDs,4168212,Restlessness and agitation
DMARDs,80811,Rupture of extensor tendons of hand AND/OR wrist
DMARDs,81943,Rupture of flexor tendons of hand AND/OR wrist
DMARDs,138821,Seborrhea
DMARDs,4198492,Shoulder joint unstable
DMARDs,25518,Sickle cell trait
DMARDs,4176908,Snapping thumb syndrome
DMARDs,4248728,Snoring
DMARDs,138278,Sprains and strains of joints and adjacent muscles
DMARDs,4008710,"Stenosis due to any device, implant AND/OR graft"
DMARDs,40479573,Stimulant abuse
DMARDs,40483172,Stimulant dependence
DMARDs,440233,Strain of supraspinatus muscle AND/OR tendon
DMARDs,4194160,Thyroid function tests abnormal
DMARDs,4216708,Urgent desire for stool
DMARDs,79873,Urolith
DMARDs,4275889,Visual hallucinations
DMARDs,4193634,Worried
