"group","exposureId","exposureName","outcomeId","outcomeName"
"Antivirals",105,"Adalimumab",134460,"Plantar fascial fibromatosis"
"Antivirals",105,"Adalimumab",77234,"Benign neoplasm of colon"
"Antivirals",105,"Adalimumab",374375,"Impacted cerumen"
"Antivirals",105,"Adalimumab",4209423,"Nicotine dependence"
"Antivirals",105,"Adalimumab",438252,"Spontaneous ecchymosis"
"Antivirals",105,"Adalimumab",36713918,"Somatic dysfunction of lumbar region"
"Antivirals",105,"Adalimumab",4213540,"Cervical somatic dysfunction"
"Antivirals",105,"Adalimumab",4012368,"Increased frequency of urination"
"Antivirals",105,"Adalimumab",4164898,"Diverticulosis of large intestine without diverticulitis"
"Antivirals",105,"Adalimumab",136497,"Scar conditions and fibrosis of skin"
"Antivirals",105,"Adalimumab",36714126,"Difficulty walking"
"Antivirals",105,"Adalimumab",381877,"Dysfunction of eustachian tube"
"Antivirals",105,"Adalimumab",4142875,"Solitary nodule of lung"
"Antivirals",105,"Adalimumab",192450,"Retention of urine"
"Antivirals",105,"Adalimumab",4110815,"Sensorineural hearing loss, bilateral"
"Antivirals",105,"Adalimumab",77139,"Open wound of finger without complication"
"Antivirals",105,"Adalimumab",73560,"Calcaneal spur"
"Antivirals",105,"Adalimumab",196168,"Irregular periods"
"Antivirals",105,"Adalimumab",46286594,"Problem related to lifestyle"
"Antivirals",105,"Adalimumab",4094343,"Dislocations/sprains/strains"
"Antivirals",105,"Adalimumab",4245252,"Raised prostate specific antigen"
"Antivirals",105,"Adalimumab",4131791,"Hydrocele of testis"
"Antivirals",105,"Adalimumab",443274,"Psychostimulant dependence"
"Antivirals",105,"Adalimumab",4344500,"Impingement syndrome of shoulder region"
"Antivirals",105,"Adalimumab",74464,"Idiopathic scoliosis AND/OR kyphoscoliosis"
"Antivirals",105,"Adalimumab",432303,"Cocaine abuse"
"Antivirals",105,"Adalimumab",4268622,"Stricture of esophagus"
"Antivirals",105,"Adalimumab",132781,"Mechanical complication of vascular device"
"Antivirals",105,"Adalimumab",77079,"Spinal stenosis"
"Antivirals",105,"Adalimumab",40479573,"Stimulant abuse"
"Antivirals",105,"Adalimumab",72711,"Shoulder stiff"
"Antivirals",105,"Adalimumab",4167097,"Spondylolisthesis"
"Antivirals",105,"Adalimumab",45757380,"Human papilloma virus deoxyribonucleic acid test positive, high risk on anal specimen"
"Antivirals",105,"Adalimumab",79873,"Urolith"
"Antivirals",105,"Adalimumab",201606,"Crohn's disease"
"Antivirals",105,"Adalimumab",440905,"Toxic effect of venom"
"Antivirals",105,"Adalimumab",194993,"Intestinal malabsorption"
"Antivirals",105,"Adalimumab",135214,"Polycythemia vera"
"Antivirals",105,"Adalimumab",45772671,"Nodular prostate without urinary obstruction"
"Antivirals",105,"Adalimumab",443585,"Abrasion and/or friction burn of multiple sites"
"Antivirals",105,"Adalimumab",444428,"Nonvenomous insect bite without infection"
"Antivirals",105,"Adalimumab",4141640,"Perimenopausal disorder"
"Antivirals",105,"Adalimumab",439935,"Abnormal posture"
"Antivirals",105,"Adalimumab",79917,"Acquired deformity of toe"
"Antivirals",105,"Adalimumab",439795,"Minimal cognitive impairment"
"Antivirals",105,"Adalimumab",375292,"Perforation of tympanic membrane"
"Antivirals",105,"Adalimumab",4058388,"Hypertrophic scar"
"Antivirals",105,"Adalimumab",76153,"Low compliance bladder"
"Antivirals",105,"Adalimumab",436155,"Redundant prepuce and phimosis"
"Antivirals",99,"Boceprevir",134460,"Plantar fascial fibromatosis"
"Antivirals",99,"Boceprevir",77234,"Benign neoplasm of colon"
"Antivirals",99,"Boceprevir",374375,"Impacted cerumen"
"Antivirals",99,"Boceprevir",4209423,"Nicotine dependence"
"Antivirals",99,"Boceprevir",438252,"Spontaneous ecchymosis"
"Antivirals",99,"Boceprevir",36713918,"Somatic dysfunction of lumbar region"
"Antivirals",99,"Boceprevir",4213540,"Cervical somatic dysfunction"
"Antivirals",99,"Boceprevir",4012368,"Increased frequency of urination"
"Antivirals",99,"Boceprevir",4164898,"Diverticulosis of large intestine without diverticulitis"
"Antivirals",99,"Boceprevir",136497,"Scar conditions and fibrosis of skin"
"Antivirals",99,"Boceprevir",36714126,"Difficulty walking"
"Antivirals",99,"Boceprevir",381877,"Dysfunction of eustachian tube"
"Antivirals",99,"Boceprevir",4142875,"Solitary nodule of lung"
"Antivirals",99,"Boceprevir",192450,"Retention of urine"
"Antivirals",99,"Boceprevir",4110815,"Sensorineural hearing loss, bilateral"
"Antivirals",99,"Boceprevir",77139,"Open wound of finger without complication"
"Antivirals",99,"Boceprevir",73560,"Calcaneal spur"
"Antivirals",99,"Boceprevir",196168,"Irregular periods"
"Antivirals",99,"Boceprevir",46286594,"Problem related to lifestyle"
"Antivirals",99,"Boceprevir",4094343,"Dislocations/sprains/strains"
"Antivirals",99,"Boceprevir",4245252,"Raised prostate specific antigen"
"Antivirals",99,"Boceprevir",4131791,"Hydrocele of testis"
"Antivirals",99,"Boceprevir",443274,"Psychostimulant dependence"
"Antivirals",99,"Boceprevir",4344500,"Impingement syndrome of shoulder region"
"Antivirals",99,"Boceprevir",74464,"Idiopathic scoliosis AND/OR kyphoscoliosis"
"Antivirals",99,"Boceprevir",432303,"Cocaine abuse"
"Antivirals",99,"Boceprevir",4268622,"Stricture of esophagus"
"Antivirals",99,"Boceprevir",132781,"Mechanical complication of vascular device"
"Antivirals",99,"Boceprevir",77079,"Spinal stenosis"
"Antivirals",99,"Boceprevir",40479573,"Stimulant abuse"
"Antivirals",99,"Boceprevir",72711,"Shoulder stiff"
"Antivirals",99,"Boceprevir",4167097,"Spondylolisthesis"
"Antivirals",99,"Boceprevir",45757380,"Human papilloma virus deoxyribonucleic acid test positive, high risk on anal specimen"
"Antivirals",99,"Boceprevir",79873,"Urolith"
"Antivirals",99,"Boceprevir",201606,"Crohn's disease"
"Antivirals",99,"Boceprevir",440905,"Toxic effect of venom"
"Antivirals",99,"Boceprevir",194993,"Intestinal malabsorption"
"Antivirals",99,"Boceprevir",135214,"Polycythemia vera"
"Antivirals",99,"Boceprevir",45772671,"Nodular prostate without urinary obstruction"
"Antivirals",99,"Boceprevir",443585,"Abrasion and/or friction burn of multiple sites"
"Antivirals",99,"Boceprevir",444428,"Nonvenomous insect bite without infection"
"Antivirals",99,"Boceprevir",4141640,"Perimenopausal disorder"
"Antivirals",99,"Boceprevir",439935,"Abnormal posture"
"Antivirals",99,"Boceprevir",79917,"Acquired deformity of toe"
"Antivirals",99,"Boceprevir",439795,"Minimal cognitive impairment"
